title,producto,residuos,valorizacion
3D-printable circular composites as sustainable leather alternative for the valorization of tanneries' solid waste,Materiale,"Residuos sólidos, Residuos con cromo",Valorización química
A Review on Utilization Routes of the Leather Industry Biomass,"Energía, Materiale, Biomoléculas","Residuos sólidos, Residuos con cromo, Residuos sin cromo","Valorización química, Valorización térmica, Valorización biológica"
A circular economy approach for utilization of tannery fleshing hydrolysate and kitchen wastes into organic fertilizer through enzymatic decomposition,Productos agrícolas,"Residuos sólidos, Residuos con cromo",Valorización biológica
"A comprehensive review of AI-based collagen valorization: Recent trends, innovations in extraction, and applications","Materiale, Biomoléculas","Residuos sólidos, Residuos sin cromo","Valorización química, Valorización biológica"
A multifunctional eco-friendly fertilizer used keratin-based superabsorbent as coatings for slow-release urea and remediation of contaminated soil,Productos agrícolas,"Residuos sólidos, Residuos sin cromo",Valorización química
A novel complex coupling agent for enhancing the compatibility between collagen fiber and natural rubber: A utilization strategy for leather wastes,Materiale,"Residuos sólidos, Residuos con cromo",Valorización química
A novel strategy of tannery sludge disposal – converting into biochar and reusing for Cr(VI) removal from tannery wastewater,Materiale,"Residuos sólidos, Residuos con cromo","Valorización térmica, Aplicaciones ambientales"
"A novel vegetable tannin for eco-leather production: separation, characterization and application of facile valorized indigenous Acacia nilotica bark extract","Materiale, Biomoléculas",Residuos sin cromo,Valorización química
A one-pot synthesis of biodiesel from leather tanning waste using supercritical ethanol: Process optimization,Energía,Residuos sólidos,Valorización química
"Absorption-Dominant, Low-Reflection Multifunctional Electromagnetic Shielding Material Derived from Hydrolysate of Waste Leather Scraps",Materiale,Residuos sólidos,"Valorización química, Valorización térmica"
Activated Carbon from Wet Blue Leather Waste for Dye Removal,Materiale,"Residuos sólidos, Residuos con cromo","Valorización térmica, Aplicaciones ambientales"
Adsorption of Cr(VI) by wet blue leather: Sustainable solution for leather industry effluents,Materiale,"Residuos sólidos, Residuos con cromo",Aplicaciones ambientales
Amino Acid Enriched Proteinous Wastes: Recovery and Reuse in Leather Making,Biomoléculas,"Residuos sólidos, Residuos sin cromo",Valorización biológica
"Amphoteric superabsorbent polymer based on waste collagen as loading media and safer release systems for herbicide 2, 4-D",Materiale,Residuos sólidos,Valorización química
An Effective and Harmless Recycling Technology for Hazardous Chrome-Tanned Leather Wastes: Re-utilization of dechromed collagen fibres as filler in leather making processing,"Materiale, Biomoléculas","Residuos sólidos, Residuos con cromo",Valorización química
An advanced multifunctional leather derived from discarded leather scraps toward personal thermal management and health protection,Materiale,Residuos sólidos,Reutilización directa
An innovative ionic liquid-aqueous biphasic system for simultaneously highly efficient dechroming and collagen recovery from chrome-tanned leather shavings at room temperature,Biomoléculas,"Residuos sólidos, Residuos con cromo",Valorización química
An integrated pickling-bating technology for reducing ammonia-nitrogen and chloride pollution in leather manufacturing,Materiale,"Residuos con cromo, Residuos líquidos",Valorización química
Analysis of the Influence of the Grinding Method of Chromium Leather Shavings on the Mechanical Properties of Composite Leather/Latex Materials,Materiale,"Residuos sólidos, Residuos con cromo",Reutilización directa
Application of Leather Waste Fractions and Their Biochars as Organic Fertilisers for Ryegrass Growth: Agri-Environmental Aspects and Plants Response Modelling,Productos agrícolas,"Residuos sólidos, Residuos con cromo, Residuos sin cromo","Valorización química, Valorización biológica"
Application of Marine Algae for Bio-tanning System: A Sustainable Leather Manufacture Approach,Biomoléculas,Residuos sin cromo,Valorización química
Application of an Integrated System of Thermal Pressure Hydrolysis/Membrane Techniques to Recover Chromium from Tannery Waste for Reuse in Hide Tanning Processes,Materiale,"Residuos sólidos, Residuos con cromo",Valorización química
Applications of enzymes in leather processing,Biomoléculas,"Residuos sólidos, Residuos líquidos",Valorización biológica
Assessment of biogas production using chrome-tanned leather waste and its kinetic evaluation: Influence of different pre-treatment methods and co-digestion with food waste,Energía,"Residuos sólidos, Residuos con cromo",Valorización biológica
Bio-based antimicrobial nanocomposites derived from tannery waste for functional leather coating: circular valorization of chrome shaving dust,"Materiale, Biomoléculas","Residuos sólidos, Residuos con cromo","Valorización química, Valorización biológica"
Biodegradable Anti-Ultraviolet Film from Modified Gallic Acid Cross-linked Gelatin,Materiale,"Residuos sólidos, Residuos con cromo",Valorización química
"Biological Solubilisation of Leather Industry Waste in Anaerobic Conditions: Effect of Chromium (III) Presence, Pre-Treatments and Temperature Strategies",Energía,"Residuos sólidos, Residuos con cromo, Residuos sin cromo",Valorización biológica
Biotransformation of bovine tannery fleshing into utilizable product with multifunctionalities,Productos agrícolas,"Residuos sólidos, Residuos sin cromo",Valorización biológica
Boosting the low-temperature NH3-SCR performance via metals co-doping with inequality Mn/Ce ratios in the carbon-based catalyst prepared by Cr-containing leather waste,Materiale,"Residuos sólidos, Residuos con cromo","Valorización térmica, Aplicaciones ambientales"
Characterization and performance analysis of leather trimming waste incorporated graphene-based composite (UPR-GO-LTW) for the removal of dye from aquatic media: A waste valorization approach,Materiale,Residuos sólidos,Aplicaciones ambientales
Characterization of wet olive pomace waste as bio based resource for leather tanning,"Materiale, Biomoléculas",Residuos sin cromo,Valorización química
Chromium containing leather trimmings valorization: Sustainable sound absorber from collagen hydrolysate intercalated electrospun nanofibers,Materiale,"Residuos sólidos, Residuos sin cromo",Valorización química
Co-pyrolysis of chrome-tanned leather waste and polyethylene terephthalate: Synergistic effects on pyrolysis kinetics and product distribution,"Energía, Materiale","Residuos sólidos, Residuos con cromo",Valorización térmica
Coagulation-adsorption-oxidation for removing dyes from tannery wastewater,Materiale,"Residuos sólidos, Residuos con cromo, Residuos líquidos","Valorización térmica, Aplicaciones ambientales"
Collagen hydrolyzed extract derived from leather waste as a multifunctional additive for the preparation of granular fertilizer,Productos agrícolas,"Residuos sólidos, Residuos con cromo",Valorización química
Composite polymers from leather waste to produce smart fertilizers,Productos agrícolas,"Residuos sólidos, Residuos sin cromo",Valorización química
Compression and fracture behavior of leather particulate reinforced polymer composites,Materiale,Residuos sólidos,Valorización química
Construction of waste-collagen modified superfine fiber substrates based on “click” chemistry: Moisture absorption and permeability,Materiale,Residuos sin cromo,Valorización química
Conversion of tannery solid waste to an adsorbent for high-efficiency dye removal from tannery wastewater: A road to circular utilization,Materiale,"Residuos sólidos, Residuos sin cromo","Valorización térmica, Aplicaciones ambientales"
DESIGN AND DEVELOPMENT OF HANDICRAFTS BASED ON WASTE VEGETABLE-TANNED LEATHER MATERIALS,Materiale,"Residuos sólidos, Residuos sin cromo",Reutilización directa
Eco-Friendly Valorization and Utilization of Plant Waste as a Source of Tannin for Leather Tanning,"Materiale, Biomoléculas",Residuos sin cromo,Valorización química
Eco-friendly bioenergy: New approaches for the effective treatment of tannery fleshings,Energía,"Residuos sólidos, Residuos sin cromo",Valorización química
"Eco-friendly fabrication of biopolymer films from tannery waste, zinc oxide nanoparticles, and crustacean shells: Advancing sustainable circular bio-economy",Materiale,"Residuos sólidos, Residuos sin cromo",Valorización química
"Effect of particle size of leather wastes on the processing, vulcanization, and physico-mechanical properties of natural rubber/leather wastes composites",Materiale,Residuos sólidos,Reutilización directa
Effective utilization of tannery hair waste to develop a high-performing re-tanning agent for cleaner leather manufacturing,Biomoléculas,"Residuos sólidos, Residuos sin cromo",Valorización química
Efficient conversion of leather tanning waste to biodiesel using crab shell-based catalyst: WASTE-TO-ENERGY approach,Energía,Residuos sólidos,Valorización química
Efficient electrochemical advanced degradation of Red CL and Red WB dyes from the tanning industry using a boron-doped diamond anode,Materiale,Residuos líquidos,Aplicaciones ambientales
Energetic Valorization of Leather Solid Waste Through Thermochemical and Biochemical Methods,Energía,"Residuos sólidos, Residuos con cromo, Residuos sin cromo","Valorización térmica, Valorización biológica"
"Enhanced co-pyrolysis of textile and leather waste with Ca/Fe-enriched sludge ash: Catalytic effect on thermal behavior, volatile composition, and biochar formation","Energía, Materiale",Residuos sólidos,Valorización térmica
Enhanced performance of pvdf composite ultrafiltration membrane via degradation of collagen-modified graphene oxide,Materiale,"Residuos sólidos, Residuos con cromo","Valorización química, Aplicaciones ambientales"
Enhancement of Mechanical and Thermal Insulation Properties of Polyvinyl Chloride Foam Using Leather Shavings,Materiale,Residuos sólidos,Valorización química
Enhancing the potential of Eisenia foetida and Eudrillus eugeniae species and their valorization in tannery leather industry sludge management via vermicomposting with bamboo biochar amendment,Productos agrícolas,"Residuos sólidos, Residuos con cromo",Valorización biológica
Enzyme-accelerated acid hydrolysis of untanned proteinaceous wastes from tanning industry,Biomoléculas,"Residuos sólidos, Residuos sin cromo",Valorización biológica
Experimental Study on Chrome Tanned Leather Shavings Modification—Properties and Prospective for Future Application,Materiale,"Residuos sólidos, Residuos con cromo",Valorización química
Extraction and utilization of biodiesel from tannery fleshing waste in a diesel engine equipped with common rail direct injection system for cleaner emission,Energía,"Residuos sólidos, Residuos sin cromo",Valorización química
Extraction of collagen powder from chrome containing leather waste and its composites with alumina employing different casting techniques,Materiale,"Residuos sólidos, Residuos con cromo",Valorización química
Fabrication of Graphene Oxide Reinforced Biocomposite: Recycling of Postconsumed Footwear Leather,Materiale,Residuos sólidos,Valorización química
Fabrication of Novel Polymer Composites from Leather Waste Fibers and Recycled Poly(Ethylene-Vinyl-Acetate) for Value-Added Products,Materiale,Residuos sólidos,Reutilización directa
"Fabrication, characterization, and application of light weight thermal insulation material from combined buffing dust and plaster of paris for construction industry",Materiale,Residuos sólidos,Valorización química
Fe-doped tannin-derived biochar inducing radical/nonradical oxidation pathways toward catechol abatement: A strategy of turning waste in leather industry into treasure to drive carbocatalysis-mediated persulfate activation,Materiale,Residuos sólidos,"Valorización térmica, Aplicaciones ambientales"
From Waste to Function: Valorization of Collagen-Based Wastes with Natural Deep Eutectic Solvents for Bioadhesive Applications,Materiale,"Residuos sólidos, Residuos sin cromo",Valorización química
From biocollagenic waste to efficient biogas purification: Applying circular economy in the leather industry,"Energía, Materiale","Residuos sólidos, Residuos sin cromo","Valorización térmica, Aplicaciones ambientales"
From leather wastes to leather: enhancement of low quality leather using collagen recovered from leather tanned wastes,"Materiale, Biomoléculas","Residuos sólidos, Residuos con cromo","Valorización química, Valorización biológica"
Green and effective route to convert chromium-free leather waste into protein retarding material for building gypsum,Materiale,"Residuos sólidos, Residuos sin cromo",Valorización química
Harnessing leather waste in polymer matrix for sustainable smart shape-stable phase change materials,Materiale,Residuos sólidos,Valorización química
High performance leathers finishing through zero waste and metal-free leather wastes valorization,Materiale,"Residuos sólidos, Residuos sin cromo",Reutilización directa
"High-Performance Triple-Network Hydrogels Derived from Chrome Leather Scraps: Ultrahigh Compressive Strength, Adhesion, and Self-Recovery",Materiale,"Residuos sólidos, Residuos con cromo",Valorización química
High-value conversion of leather waste: An enhanced protein-based retarder for gypsum construction,Biomoléculas,Residuos sólidos,Valorización química
Hydrolysate from leather tanning waste as clay modifier for pig manure treatment,Materiale,Residuos sólidos,Aplicaciones ambientales
Hydrolysis of used leather and application of hydrolysates,"Materiale, Biomoléculas","Residuos sólidos, Residuos con cromo","Valorización química, Valorización biológica"
Influence of preparation techniques of cellulose II nanocrystals as reinforcement for tannery solid waste–based gelatin composite films,Materiale,"Residuos sólidos, Residuos sin cromo",Valorización química
Influence of viscoelastic behavior in flame retardancy of thermoplastic starch multicomponent systems loaded with leather waste,Materiale,Residuos sólidos,Valorización química
Innovative Utilization of Wet Blue Leather Waste to Nitrogen-doped Activated Carbon for High-performance Supercapacitors,"Energía, Materiale","Residuos sólidos, Residuos con cromo",Valorización térmica
Innovative utilization of leather waste for chromium-doped ZnO photocatalysts: Advanced modeling and MATLAB optimization for effective wastewater treatment,Materiale,"Residuos sólidos, Residuos con cromo","Valorización química, Aplicaciones ambientales"
Integrated Transcriptomic and Proteomic Analysis of the Stress Response Mechanisms of Micractinium from the Tibetan Plateau Under Leather Wastewater Exposure,Biomoléculas,Residuos líquidos,"Aplicaciones ambientales, Valorización biológica"
Investigation on pyrolysis and incineration of chrome-tanned solid waste from tanneries for effective treatment and disposal: an experimental study,"Energía, Materiale","Residuos sólidos, Residuos con cromo",Valorización térmica
LEATHER TANNING SLUDGE IN CEMENT MORTAR: SUSTAINABLE VALORISATION,Materiale,"Residuos sólidos, Residuos con cromo","Valorización química, Valorización térmica"
LEATHER WASTE TO ENERGY: ENVIRONMENTAL BENEFITS. A REVIEW,Energía,"Residuos sólidos, Residuos con cromo, Residuos sin cromo","Valorización térmica, Valorización biológica"
Leather shaving dust utilization in brick preparation: Solid waste management in tannery,Materiale,"Residuos sólidos, Residuos con cromo",Valorización térmica
Leather wastes into high-value chemicals: Keratin-based retanning agents via UV-initiated polymerization,"Materiale, Biomoléculas","Residuos sólidos, Residuos sin cromo",Valorización química
Mechanical Properties of Ternary Composite from Waste Leather Fibers and Waste Polyamide Fibers with Acrylonitrile-Butadiene Rubber,Materiale,Residuos sólidos,Valorización química
Microbial fuel cell: A green eco-friendly agent for tannery wastewater treatment and simultaneous bioelectricity/power generation,Energía,"Residuos con cromo, Residuos líquidos","Aplicaciones ambientales, Valorización biológica"
Microbial keratinases: An overview of biochemical characterization and its eco-friendly approach for industrial applications,Biomoléculas,Residuos sólidos,Valorización biológica
Monetizing and selection of sustainable tannery sludge-to-energy technology using a simulation-based novel integrated MCDM model along with life cycle Techno-Economic-ESG analysis,Energía,"Residuos sólidos, Residuos con cromo",Valorización térmica
Nanoarchitectonics of nitrogen-doped porous carbon derived from leather wastes for solid-state supercapacitor,"Energía, Materiale","Residuos sólidos, Residuos sin cromo",Valorización térmica
Nonconventional utilization of rejected hides and skins,Materiale,"Residuos sólidos, Residuos sin cromo",Valorización química
On the Applications as Catalytic Support of Biochars Obtained by Pyrolysis of Waste Biomasses,Materiale,Residuos sólidos,Valorización térmica
Optimizing waste utilization value: Fabrication of multi-functional high-performance electrocatalysts via in situ chemical transformation on chromium-tanned collagen fibers,"Energía, Materiale","Residuos sólidos, Residuos con cromo",Valorización térmica
Optimum utilization and resource recovery of tannery sludge: a review,Materiale,"Residuos sólidos, Residuos con cromo",Reutilización directa
Performance Assessment of Kert Protease Treatment for the Sustainable Management of the Unhairing System in Tannery,Biomoléculas,"Residuos sólidos, Residuos líquidos, Residuos sin cromo",Valorización biológica
Performance evaluation on the chemical looping combustion of the chromium-containing leather waste and the fate of chromium using thermodynamic analysis,Energía,Residuos con cromo,Valorización térmica
Plant proteases from Carica papaya and Vasconcellea quercifolia with potential application for a cleaner processing in tanneries,Biomoléculas,Residuos sólidos,Valorización biológica
"Potential Utilization of Solid Wastes Generated from Tannery, Garments and Jute Industries for the Production of Composite Board",Materiale,"Residuos sólidos, Residuos con cromo",Reutilización directa
Preparation and Characterization of Decellularized ECM Hydrogel from Adipose Tissues of Hide/Skin: Unlocking Untapped Resource Potential,"Materiale, Biomoléculas","Residuos sólidos, Residuos sin cromo","Valorización química, Valorización biológica"
Preparation and characterization of composite sheets from solid leather waste with plant fibers: a waste utilization effort,Materiale,Residuos sólidos,Valorización química
Preparation and characterization of eco-friendly polymer composites from leather wastes,Materiale,Residuos sólidos,Valorización química
Preparation and mechanical properties of collagen-based fibers employing metal-polyphenol networks,Materiale,"Residuos sólidos, Residuos sin cromo",Valorización química
Preparation of Adsorption-degradation Collagen/ZnO Composites Based on Chrome-tanned Leather Shavings,Materiale,"Residuos sólidos, Residuos con cromo","Valorización química, Aplicaciones ambientales"
Preparation of Nontoxic Biodegradable Packaging Materials from Hazardous Leather Shaving Dusts Using Poly(Vinyl Alcohol),"Materiale, Biomoléculas","Residuos sólidos, Residuos con cromo",Valorización química
Progress in sustainable technologies of leather wastes valorization as solutions for the circular economy,"Energía, Materiale, Biomoléculas, Productos agrícolas","Residuos sólidos, Residuos con cromo, Residuos líquidos, Residuos sin cromo","Valorización química, Valorización térmica, Valorización biológica"
Purification and biochemical characterization of two novel extracellular keratinases with feather-degradation and hide-dehairing potential,Biomoléculas,Residuos sólidos,Valorización biológica
RECENT DEVELOPMENTS IN ENVIRONMENT-FRIENDLY METHODS FOR VALUING LEATHER WASTE AS A MEANS OF PROMOTING THE CIRCULAR ECONOMY: A COMPREHENSIVE REVIEW,"Energía, Materiale, Biomoléculas","Residuos sólidos, Residuos con cromo, Residuos líquidos, Residuos sin cromo","Valorización química, Valorización térmica, Valorización biológica"
Recovery of Cr from chrome-containing leather waste and its utilization as reinforcement along with waste spent alumina catalyst and grinding sludge in AA 5052-based metal matrix composites,Materiale,"Residuos sólidos, Residuos con cromo",Valorización química
Recovery of Cr from chrome-containing leather wastes to develop aluminum-based composite material along with Al2O3 ceramic particles: An ingenious approach,Materiale,"Residuos sólidos, Residuos con cromo",Valorización química
Recovery of Industrially Useful Hair and Fat from Enzymatic Unhairing of Goatskins during Leather Processing,"Energía, Productos agrícolas","Residuos sólidos, Residuos sin cromo","Reutilización directa, Valorización biológica"
Recycling leather buffing dust into activated carbon for efficient turbidity removal from tannery wastewater,Materiale,"Residuos sólidos, Residuos con cromo","Valorización térmica, Aplicaciones ambientales"
Recycling of chrome-tanned leather and its utilization as polymeric materials and in polymer-based composites: A review,Materiale,Residuos sólidos,"Reutilización directa, Valorización química"
Recycling of tannery fleshing waste by a two step process for preparation of retanning agent,"Materiale, Biomoléculas","Residuos sólidos, Residuos sin cromo","Valorización química, Valorización biológica"
Research on the composite and functional characteristics of leather fiber mixed with nitrile rubber,Materiale,Residuos sólidos,Reutilización directa
Research on the use of tanned leather fibres as aggregate in obtaining asphalt mixtures,Materiale,Residuos sólidos,Valorización química
Resource Utilisation of Solid Leather Waste: Part 2 A Review,"Materiale, Biomoléculas","Residuos sólidos, Residuos con cromo, Residuos sin cromo","Valorización química, Valorización biológica"
Resource Utilization of Bovine Hair Recycling from Enzymatic Unhairing during Leather Manufacturing: Alkali-Protease Synergistic Preparation of Keratin and its in Vitro Antioxidant Activity,Biomoléculas,"Residuos sólidos, Residuos sin cromo","Valorización química, Valorización biológica"
Review of Soil Quality Improvement Using Biopolymers from Leather Waste,Productos agrícolas,"Residuos sólidos, Residuos con cromo, Residuos sin cromo","Valorización química, Valorización biológica"
Revolutionary approach to risk assessment utilization of oxidized agricultural waste as inexpensive adsorbents in tannery effluent: a kinetic investigation,Materiale,Residuos líquidos,"Valorización química, Aplicaciones ambientales"
Silkworm-cocoon-inspired sandwich-structured hollow carbon nanofiber films with absorption-dominated electromagnetic interference shielding and tailored thermal management,Materiale,Residuos sólidos,Valorización térmica
Solid waste collagen-associated fabrication of magnetic hematite nanoparticle@collagen nanobiocomposite for emission-adsorption of dyes,Materiale,Residuos sólidos,"Valorización química, Aplicaciones ambientales"
Solid waste-derived biodegradable keratin sponges for removal of chromium: A circular approach for waste management in leather industry,Materiale,"Residuos sólidos, Residuos con cromo",Aplicaciones ambientales
Solvent-free biorefinery of leather fleshing waste into FAMEs and nitrogen-rich co-products,"Energía, Productos agrícolas","Residuos sólidos, Residuos sin cromo",Valorización química
Stabilization of liming sludge in brick production: A way to reduce pollution in tannery,Materiale,"Residuos sólidos, Residuos con cromo","Valorización química, Valorización térmica"
"Supercritical methanolysis of leather tanning waste biomass: experimental investigation, process simulation, and sustainable biodiesel production",Energía,Residuos sólidos,Valorización térmica
Sustainable construction materials for low-cost housing: Thermal insulation potential of expanded SBR composites with leather waste,Materiale,"Residuos sólidos, Residuos con cromo",Reutilización directa
Sustainable utilization of agro-industrial waste for the production of chromium tanning agent through redox synthesis for leather industry: a circular economy approach,Materiale,Residuos sin cromo,Valorización química
Sustainable utilization of corn starch resources: A novel soluble starch-based functional chrome-free tanning agent for the eco-leather production,Materiale,"Residuos con cromo, Residuos líquidos",Valorización química
Sustainable utilization of finished leather wastes: A novel collagen hydrolysate-based gypsum additive with high-retarding performance,Biomoléculas,Residuos sólidos,Valorización química
THE USE OF NON-CHROME MINERAL TANNING MATERIALS AS A PREFERABLE ENVIRONMENTALLY FRIENDLY TANNING MATERIAL,Materiale,"Residuos con cromo, Residuos líquidos",Valorización química
Tannery solid waste-derived cross-scale deformable piezoresistive sensors for monitoring human body motions,Materiale,Residuos sólidos,Valorización química
Tannery waste-derived biochar as a carrier of micronutrients essential to plants,Productos agrícolas,"Residuos sólidos, Residuos con cromo",Valorización térmica
The Effect of the Pyrolysis Temperature of a Leather–Textile Mixture from Post-Consumer Footwear on the Composition and Structure of Carbonised Materials,Materiale,Residuos sólidos,Valorización térmica
The Use of Collagen Hydrolysate from Chromium Waste in the Optimization of Leather Retanning,Materiale,Residuos con cromo,Valorización química
Toward Sustainable Leather Processing: A Comprehensive Review of Cleaner Production Strategies and Environmental Impacts,Materiale,"Residuos sólidos, Residuos con cromo, Residuos líquidos","Valorización química, Valorización biológica"
Treatment and utilization of chromium-tanned leather waste for energy materials as an alternative approach to current energy technologies: a review,"Energía, Materiale","Residuos sólidos, Residuos con cromo","Valorización química, Valorización térmica"
Treatment of salt from hides curing stage by electrocoagulation for use in the pickling stage of the tanning industry,Materiale,Residuos líquidos,"Valorización química, Aplicaciones ambientales"
Turning Waste into Treasure: Multicolor Carbon Dots Synthesized from Waste Leather Scrap and their Application in Anti-Counterfeiting,Materiale,Residuos sólidos,Valorización química
Ultrasound-assisted extraction of chromium from tanned leather shavings: A promising continuous flow technology for the treatment of solid waste,Materiale,"Residuos sólidos, Residuos con cromo",Valorización química
Unleashing the potential of leather waste: Biogas generation and cost savings through semi-continuous anaerobic co-digestion,Energía,"Residuos sólidos, Residuos con cromo, Residuos líquidos",Valorización biológica
Upcycling chrome-tanned leather waste into electrode materials for supercapacitors and high-voltage Li-ion batteries,Materiale,"Residuos sólidos, Residuos con cromo","Valorización química, Valorización térmica"
Utilization of Chrome Containing Leather Waste in Development of Aluminium Based Green Composite Material,Materiale,"Residuos sólidos, Residuos con cromo",Valorización química
Utilization of Chrome Shavings in the Production of Industrial Gelatin,Biomoléculas,"Residuos sólidos, Residuos con cromo",Valorización química
Utilization of Collagen Wastes as Bioretanning Agent and Effects on the Mechanical Properties of Leather,"Materiale, Biomoléculas","Residuos sólidos, Residuos con cromo",Valorización química
Utilization of Raw Trimming Wastes to Fabricate Biocomposites: A Single Step Approach for Solid Waste Management,"Materiale, Biomoléculas","Residuos sólidos, Residuos sin cromo",Valorización química
Utilization of Tannery Flesh Waste for Production of Sustainable Leather Coating Substance,"Materiale, Biomoléculas","Residuos sólidos, Residuos sin cromo",Valorización química
Utilization of chromium tanned leather waste in cementitious and gypsum composites for sustainable construction materials,Materiale,"Residuos sólidos, Residuos con cromo",Reutilización directa
Utilization of fleshing waste of leather processing for the growth of zygomycetes: A new substrate for economical production of bio-polymer chitosan,Biomoléculas,"Residuos sólidos, Residuos sin cromo",Valorización biológica
Utilization of leather fibrous wastes for the production of reconstituted fibric materials: heavy metal determination and removal,Materiale,"Residuos sólidos, Residuos con cromo","Valorización química, Aplicaciones ambientales"
Utilization of various solid leather wastes for the production of blended bricks,Materiale,"Residuos sólidos, Residuos con cromo",Valorización química
Utilization of waste capiz shell - Based catalyst for the conversion of leather tanning waste into biodiesel,Energía,Residuos sólidos,Valorización química
Utilization of waste leather for efficient removal of Ca2+and Mg2+in lithium carbonate production via nano-structural adsorption,Materiale,Residuos sólidos,"Reutilización directa, Aplicaciones ambientales"
Valorisation of leather buffing dust as corrosion inhibitor for mild steel in H2SO4 acid,Materiale,Residuos sólidos,Valorización química
Valorisation of metal-contaminated biomass by hydrothermal liquefaction: The case study of tannery sludge,Energía,"Residuos sólidos, Residuos con cromo",Valorización térmica
Valorisation of tannery waste and animal by-product for acoustics applications,Materiale,"Residuos sólidos, Residuos con cromo",Reutilización directa
Valorization of Pomegranate Peel Waste as Retanning Agent in Leather Industry and Investigation of Its Effect on Prevention of Cr(VI) Formation,"Materiale, Biomoléculas",Residuos sin cromo,Valorización química
Valorization of agitated thin film dryer (ATFD)-mixed-salt from textile wastewater for its application in leather manufacturing–a sustainable approach,Materiale,"Residuos sólidos, Residuos líquidos","Valorización química, Aplicaciones ambientales"
Valorization of hazardous chrome tanned leather buffing waste for the production of Cr2O3/carbon/TiO2 composite semiconductors with the removal of chlorophenol from its wastewater,Materiale,"Residuos sólidos, Residuos con cromo","Valorización térmica, Aplicaciones ambientales"
Valorization of leather industry waste in polyurethane composites for reduced flammability,Materiale,"Residuos sólidos, Residuos con cromo",Reutilización directa
Valorization of raw hide trimmings as alternative protein source for poultry feed: A step towards sustainable waste management and circular bioeconomy,Productos agrícolas,"Residuos sólidos, Residuos sin cromo",Valorización biológica
Valorization of tannery fleshing waste into nitrogen source for sustainable production of microbial enzymes.,Biomoléculas,"Residuos sólidos, Residuos sin cromo",Valorización biológica
Valorization of tannery solid wastes for sustainable enzyme induced carbonate precipitation process,Materiale,"Residuos sólidos, Residuos líquidos, Residuos sin cromo",Valorización biológica
Valorization of trout skins for a circular bioeconomy: Ecological leather production and anaerobic co-digestion of tanning effluents with trout byproducts (Morocco),"Energía, Biomoléculas","Residuos sólidos, Residuos líquidos, Residuos sin cromo","Valorización química, Valorización biológica"
Valorization potential of dried tannery fleshing wastes (TFW) through pyrolysis in the leather industry: Kinetic and thermodynamic investigations,"Materiale, Productos agrícolas","Residuos sólidos, Residuos sin cromo","Valorización térmica, Aplicaciones ambientales"
Waste cooking oil and molasses for the sustainable production of extracellular lipase by Saitozyma flava,Biomoléculas,Residuos sólidos,Valorización biológica
Zero waste discharge in tannery industries – An achievable reality? A recent review,Materiale,"Residuos sólidos, Residuos con cromo","Reutilización directa, Aplicaciones ambientales"
